url: https://www.spotrac.com/nba/injured/_/year/2025/view/player
rank,player,pos,team,injury_details,games_missed,days_missed,cash_total
94,Rui Hachimura,PF,LAL,"Short-Term IR: Illness: 11/6/24-11/6/24 | Short-Term IR: Ankle: 11/15/24-11/21/24 | Short-Term IR: Calf: 1/25-1/27/25 | Short-Term IR: Knee: 2/28-3/8/25, 3/10-3/20/25, 3/27-3/27/25, 4/4-4/4/25, 4/8-4/8/25, 4/13-4/13/25",23,35,3419535
95,Caleb Martin,SF,PHI,"Short-Term IR: Back: 11/27/24-12/2/24 | Short-Term IR: Shoulder: 12/13/24-12/20/24 | Short-Term IR: Groin: 1/12-2/2/25 | Short-Term IR: Hip: 2/8-3/5/25, 3/16-3/25/25",34,72,3371976
96,Isaac Okoro,SG,CLE,"Short-Term IR: Ankle: 11/19/24-11/23/24 | Short-Term IR: Knee: 12/5/24-12/12/24 | Short-Term IR: Shoulder: 12/20/24-1/5/25, 1/18-2/12/25 | Short-Term IR: Rest: 4/13-4/13/25",27,57,3336552
97,PJ Washington,PF,DAL,"Short-Term IR: Knee: 11/6/24-11/15/24, 2/2-2/2/25 | Short-Term IR: Illness: 12/10/24-12/10/24, 4/2-4/2/25 | Short-Term IR: Personal: 2/4-2/6/25 | Short-Term IR: Ankle: 2/10-2/13/25, 2/27-2/27/25, 3/3-3/14/25, 3/25-3/27/25, 4/13-4/13/25",24,36,3206880
98,Tre Jones,PG,SAS,Short-Term IR: Ankle: 10/25/24-11/15/24 | Short-Term IR: Shoulder: 12/3/24-12/17/24 | Short-Term IR: Foot: 3/22-4/13/25,29,60,3139380
99,DaRon Holmes II,PF,DEN,IR: Achilles: 10/21/24-4/13/25,82,175,3083325
100,Donovan Mitchell,SG,CLE,"Short-Term IR: Rest: 11/17/24-11/17/24, 1/9-1/9/25, 3/2-3/2/25 | Short-Term IR: Shoulder: 2/5-2/5/25 | Short-Term IR: Groin: 3/11-3/14/25 | Short-Term IR: Injury Management: 3/25-3/25/25 | Short-Term IR: Ankle: 4/8-4/13/25",11,15,3004170
101,De'Andre Hunter,SF,ATL,"Short-Term IR: Knee: 10/27/24-11/8/24 | Short-Term IR: Personal: 11/12/24-11/16/24 | Short-Term IR: Foot: 1/14-1/15/25 | Short-Term IR: Illness: 1/25-1/25/25, 3/11-3/11/25 | Short-Term IR: Rest: 4/11-4/11/25, 4/13-4/13/25",16,24,2992608
102,Jonathan Kuminga,PF,GSW,"Short-Term IR: Illness: 11/23/24-11/23/24, 11/25/24-11/25/24 | Short-Term IR: Ankle: 1/5-3/10/25 | Short-Term IR: Pelvis: 4/1-4/1/25",34,67,2940429
103,Josh Okogie,SG,PHX,"Short-Term IR: Hamstring: 10/23/24-10/31/24, 2/1-3/23/25, 4/9-4/9/25 | Short-Term IR: Injury Management: 3/28-3/28/25 | Short-Term IR: Illness: 3/31-3/31/25",34,62,2939668
104,Jusuf Nurkic,C,PHX,"Short-Term IR: Ankle: 11/12/24-11/12/24, 11/18/24-11/19/24 | Short-Term IR: Quad: 11/30/24-12/11/24 | Short-Term IR: Illness: 1/12-1/20/25, 2/27-3/1/25 | Short-Term IR: Neck: 3/8-3/8/25",14,28,2916676
105,Malik Monk,SG,SAC,Short-Term IR: Ankle: 11/11/24-11/24/24 | Short-Term IR: Groin: 1/14-1/14/25 | Short-Term IR: Toe: 3/5-3/9/25 | Short-Term IR: Illness: 3/22-3/25/25 | Short-Term IR: Calf: 4/9-4/13/25,17,29,2900870
106,Caris LeVert,SG,CLE,"Short-Term IR: Knee: 11/2/24-11/5/24, 11/19/24-11/28/24, 3/16-3/18/25, 4/13-4/13/25 | Short-Term IR: Wrist: 1/20-1/30/25 | Short-Term IR: Finger: 3/10-3/10/25",17,30,2864730
107,Devin Booker,SG,PHX,Short-Term IR: Groin: 12/21/24-12/28/24 | Short-Term IR: Back: 2/12-2/12/25 | Short-Term IR: Calf: 4/13-4/13/25,7,10,2827920
108,Cameron Thomas,SG,BKN,"Short-Term IR: Back: 11/19/24-11/19/24 | Short-Term IR: Hamstring: 11/27/24-12/28/24, 1/4-2/26/25, 3/15-3/31/25, 4/3-4/13/25 | Short-Term IR: Injury Management: 1/1-1/1/25, 3/1-3/1/25, 3/10-3/10/25",57,118,2740668
109,Dereck Lively II,C,DAL,"Short-Term IR: Shoulder: 11/4/24-11/11/24 | Short-Term IR: Knee: 12/1/24-12/2/24 | Short-Term IR: Hip: 12/27/24-12/30/24 | Short-Term IR: Ankle: 1/15-4/4/25, 4/4-4/4/25, 4/13-4/13/25",46,95,2737805
110,Jared McCain,PG,PHI,IR: Knee: 12/16/24-4/13/25,58,118,2726508
111,Ayo Dosunmu,PG,CHI,"Short-Term IR: Achilles: 12/26/24-1/14/25 | Short-Term IR: Shoulder: 2/22-2/26/25, 3/2-4/13/25",33,67,2695410
112,Nicolas Claxton,C,BKN,"Short-Term IR: Injury Management: 10/30/24-10/30/24 | Short-Term IR: Back: 11/15/24-11/21/24, 11/25/24-11/28/24 | Short-Term IR: Hamstring: 1/14-1/14/25 | Short-Term IR: Rest: 3/15-3/15/25, 3/29-3/29/25, 4/6-4/6/25, 4/11-4/11/25",11,17,2692341
113,Tyrese Haliburton,PG,IND,"Short-Term IR: Hamstring: 1/14-1/14/25 | Short-Term IR: Hip Flexor: 3/6-3/10/25 | Short-Term IR: Back: 3/17-3/20/25, 4/13-4/13/25 | Short-Term IR: Injury Management: 4/11-4/11/25",9,11,2666323
114,Kenyon Martin Jr.,SF,PHI,Short-Term IR: Foot: 12/25/24-2/4/25 | Short-Term IR: Elbow: 3/16-3/21/25 | Short-Term IR: Illness: 4/4-4/13/25,31,58,2658314
115,Jabari Smith Jr.,PF,HOU,Short-Term IR: Hand: 1/3-2/13/25 | Short-Term IR: Groin: 4/9-4/13/25,26,47,2639238
116,Cody Zeller,C,ATL,"Short-Term IR: Personal: 10/22/24-2/5/25, 2/9-3/1/25",60,128,2574720
117,Donte DiVincenzo,SG,MIN,Short-Term IR: Toe: 1/17-2/24/25,18,39,2565264
118,Alex Caruso,SG,OKC,"Short-Term IR: Hip: 11/13/24-11/17/24, 11/25/24-12/4/24, 12/25/24-1/12/25, 2/13-2/13/25 | Short-Term IR: Ankle: 2/1-2/3/25, 3/5-3/5/25, 4/2-4/2/25, 4/11-4/13/25 | Short-Term IR: Rest: 2/28-2/28/25 | Short-Term IR: Illness: 3/12-3/12/25",27,45,2557755
119,Karl-Anthony Towns,C,NYK,"Short-Term IR: Knee: 11/15/24-11/15/24, 1/6-1/6/25, 2/26-2/26/25, 4/1-4/1/25, 4/11-4/13/25 | Short-Term IR: Thumb: 1/17-1/17/25 | Short-Term IR: Personal: 3/4-3/4/25",8,9,2545128
120,Grayson Allen,SG,PHX,"Short-Term IR: Achilles: 10/24/24-10/27/24 | Short-Term IR: Hamstring: 11/13/24-11/15/24 | Short-Term IR: Head: 12/23/24-12/31/24 | Short-Term IR: Knee: 2/12-2/12/25 | Short-Term IR: Foot: 2/28-2/28/25, 3/12-3/21/25",17,28,2514372
121,Dorian Finney-Smith,PF,BKN,"Short-Term IR: Ankle: 11/11/24-11/14/24, 11/24/24-11/26/24, 11/29/24-12/6/24, 2/12-2/12/25, 3/10-3/10/25, 3/14-3/14/25, 3/20-3/20/25, 4/13-4/13/25 | Short-Term IR: Calf: 12/21/24-12/26/24 | Short-Term IR: Personal: 1/15-1/17/25 | Short-Term IR: Shoulder: 1/30-1/30/25",19,30,2480400
122,Tobias Harris,PF,DET,Short-Term IR: Hip: 11/27/24-11/28/24 | Short-Term IR: Hand: 12/16/24-12/16/24 | Short-Term IR: Personal: 3/3-3/5/25 | Short-Term IR: Achilles: 3/28-4/7/25,9,17,2478277
123,Gary Harris,SG,ORL,"Short-Term IR: Hamstring: 11/27/24-12/26/24, 1/3-1/27/25, 2/6-2/6/25",27,56,2413768
124,Jalen Johnson,SF,ATL,"Short-Term IR: Leg: 11/18/24-11/18/24 | Short-Term IR: Shoulder: 12/8/24-12/8/24, 1/1-1/1/25, 1/4-1/15/25 | IR: Shoulder: 1/25-4/13/25",47,93,2411025
125,Collin Sexton,PG,UTA,"Short-Term IR: Rest: 1/15-1/16/25 | Short-Term IR: Ankle: 2/4-2/13/25, 2/21-2/26/25, 3/2-3/2/25, 3/5-3/5/25, 3/9-3/9/25 | Short-Term IR: Injury Management: 3/17-3/17/25 | Short-Term IR: Pelvis: 3/31-3/31/25",16,23,2399130
126,Brandon Clarke,PF,MEM,"Short-Term IR: Toe: 11/13/24-11/14/24 | Short-Term IR: Knee: 12/29/24-12/31/24, 3/10-3/10/25, 3/21-4/13/25 | Short-Term IR: Back: 2/3-2/3/25",17,31,2227009
127,Jayson Tatum,PF,BOS,"Short-Term IR: Knee: 12/4/24-12/5/24, 12/12/24-12/12/24, 3/10-3/10/25, 3/18-3/18/25 | Short-Term IR: Illness: 12/23/24-12/23/24 | Short-Term IR: Shoulder: 3/5-3/5/25 | Short-Term IR: Ankle: 3/26-3/26/25, 4/6-4/6/25, 4/9-4/9/25 | Short-Term IR: Rest: 4/13-4/13/25",10,11,2203058
128,Dante Exum,PG,DAL,Short-Term IR: Wrist: 10/24/24-1/29/25 | Short-Term IR: Achilles: 2/12-2/12/25 | Short-Term IR: Foot: 3/5-3/5/25 | Short-Term IR: Hand: 3/16-4/5/25,61,121,2190463
129,Jonathan Isaac,PF,ORL,"Short-Term IR: Hip: 10/23/24-10/29/24 | Short-Term IR: Hamstring: 12/6/24-12/10/24 | Short-Term IR: Back: 2/12-2/12/25 | Short-Term IR: Illness: 2/21-2/21/25, 3/6-3/6/25",9,15,2155170
130,Devin Carter,PG,SAC,"Short-Term IR: Shoulder: 10/24/24-1/2/25, 3/31-4/2/25 | Short-Term IR: Wrist: 1/19-1/19/25 | Short-Term IR: Illness: 3/24-3/24/25",38,76,2048048
131,Bilal Coulibaly,SF,WAS,Short-Term IR: Mouth: 11/18/24-11/20/24 | Short-Term IR: Groin: 12/23/24-1/5/25 | Short-Term IR: Hamstring: 3/11-4/13/25,23,51,2035665
132,Terance Mann,SG,LAC,Short-Term IR: Finger: 12/4/24-1/2/25,11,30,1969500
133,Cody Martin,SF,CHA,Short-Term IR: Knee: 12/28/24-12/30/24 | Short-Term IR: Groin: 1/25-2/5/25 | Short-Term IR: Hernia: 2/11-3/9/25,22,42,1960014
134,Christian Wood,C,LAL,Short-Term IR: Knee: 10/22/24-2/10/25,53,112,1954288
135,Ausar Thompson,SG,DET,"Short-Term IR: Adductor: 12/4/24-1/7/25 | Short-Term IR: Illness: 12/4/24-12/4/24, 1/6-1/8/25 | Short-Term IR: Knee: 4/13-4/13/25",6,40,1925520
136,Andre Drummond,C,PHI,"Short-Term IR: Illness: 11/13/24-11/13/24, 3/10-3/10/25 | Short-Term IR: Ankle: 12/3/24-12/5/24 | Short-Term IR: Toe: 12/25/24-12/31/24, 1/2-1/2/25, 1/6-1/14/25, 1/24-2/5/25, 3/14-4/13/25 | Short-Term IR: Injury Management: 1/19-1/19/25",39,67,1925312
137,Scottie Barnes,PF,TOR,"Short-Term IR: Eye: 10/30/24-11/20/24 | Short-Term IR: Ankle: 12/12/24-12/16/24 | Short-Term IR: Hip: 2/26-2/26/25 | Short-Term IR: Hand: 3/12-3/12/25, 4/4-4/6/25",17,32,1863168
138,Franz Wagner,SF,ORL,Short-Term IR: Oblique: 12/8/24-1/21/25 | Short-Term IR: Knee: 4/13-4/13/25,21,46,1852466
139,Wendell Carter Jr.,C,ORL,Short-Term IR: Knee: 11/1/24-11/25/24 | Short-Term IR: Hip: 4/11-4/11/25,14,26,1785628
140,Gary Payton II,PG,GSW,"Short-Term IR: Calf: 12/23/24-1/13/25 | Short-Term IR: Ankle: 2/13-2/13/25 | Short-Term IR: Nose: 3/4-3/4/25 | Short-Term IR: Knee: 3/20-3/20/25, 4/8-4/9/25 | Short-Term IR: Thumb: 3/28-4/3/25",19,34,1784014
141,Dean Wade,PF,CLE,"Short-Term IR: Illness: 11/4/24-11/7/24, 4/2-4/4/25 | Short-Term IR: Ankle: 11/19/24-12/2/24 | Short-Term IR: Knee: 12/23/24-12/23/24, 1/25-2/20/25 | Short-Term IR: Rest: 4/13-4/13/25",23,50,1772050
142,Jaren Jackson Jr.,PF,MEM,Short-Term IR: Hamstring: 10/23/24-10/26/24 | Short-Term IR: Ankle: 3/5-3/12/25 | Short-Term IR: Back: 4/13-4/13/25,9,12,1741920
143,Noah Clowney,PF,BKN,"Short-Term IR: Hip: 11/4/24-12/7/24 | Short-Term IR: Back: 1/2-1/2/25 | Short-Term IR: Ankle: 1/29-3/6/25, 3/13-3/16/25 | Short-Term IR: Wrist: 3/28-4/13/25",34,93,1733892
144,Trae Young,PG,ATL,"Short-Term IR: Achilles: 11/12/24-11/13/24, 4/13-4/13/25 | Short-Term IR: Heel: 12/21/24-12/21/24 | Short-Term IR: Ribs: 1/15-1/15/25 | Short-Term IR: Hamstring: 1/27-1/27/25 | Short-Term IR: Quad: 3/10-3/10/25",6,7,1731170
145,Jeremy Sochan,PF,SAS,"Short-Term IR: Thumb: 11/6/24-12/2/24 | Short-Term IR: Back: 1/3-1/3/25, 1/8-1/19/25, 4/1-4/13/25 | Short-Term IR: Calf: 3/10-3/10/25",28,54,1728648
146,Nikola Vucevic,C,CHI,"Short-Term IR: Illness: 12/13/24-12/13/24 | Short-Term IR: Calf: 2/24-3/8/25, 4/8-4/8/25",9,15,1724145
147,Scoot Henderson,PG,POR,Short-Term IR: Hip: 11/22/24-11/26/24 | Short-Term IR: Quad: 11/29/24-12/6/24 | Short-Term IR: Ankle: 2/12-2/12/25 | Short-Term IR: Concussion: 3/30-4/13/25,16,29,1709869
148,Kelly Oubre Jr.,SF,PHI,Short-Term IR: Hand: 1/1-1/4/25 | Short-Term IR: Illness: 3/3-3/3/25 | Short-Term IR: Ankle: 3/10-3/10/25 | Short-Term IR: Knee: 3/14-4/13/25,22,37,1697523
149,Darius Garland,PG,CLE,"Short-Term IR: Groin: 11/20/24-11/20/24 | Short-Term IR: Rest: 1/29-1/29/25, 3/19-3/19/25 | Short-Term IR: Hip: 2/23-2/25/25 | Short-Term IR: Toe: 4/10-4/10/25, 4/13-4/13/25",7,8,1688536
150,Steven Adams,C,HOU,"Short-Term IR: Knee: 10/23/24-10/27/24, 11/2/24-11/3/24, 11/6/24-11/7/24, 11/10/24-11/10/24, 11/13/24-11/14/24, 11/17/24-11/17/24, 11/23/24-11/26/24 | Short-Term IR: Migraine: 1/20-1/20/25 | Short-Term IR: Ankle: 1/28-1/28/25, 2/6-2/6/25, 2/9-2/9/25, 2/22-2/22/25 | Short-Term IR: Wrist: 3/27-3/27/25",16,23,1665522
151,Kyle Lowry,PG,PHI,"Short-Term IR: Hip: 11/20/24-11/30/24, 12/30/24-12/30/24, 1/6-1/24/25, 2/4-2/4/25, 2/11-3/30/25, 4/3-4/4/25 | Short-Term IR: Back: 12/13/24-12/13/24 | Short-Term IR: Injury Management: 4/9-4/13/25",46,87,1651869
152,Shai Gilgeous-Alexander,PG,OKC,"Short-Term IR: Wrist: 1/17-1/17/25 | Short-Term IR: Rest: 3/7-3/7/25, 3/19-3/19/25 | Short-Term IR: Shin: 4/9-4/13/25",6,8,1648736
153,Ousmane Dieng,SF,OKC,"Short-Term IR: Finger: 11/25/24-12/14/24 | Short-Term IR: Illness: 1/23-1/23/25 | Short-Term IR: Leg: 2/7-2/13/25 | Short-Term IR: Wrist: 2/28-2/28/25 | Short-Term IR: Calf: 3/16-3/16/25, 3/19-4/13/25",31,56,1617896
154,Vlatko Cancar,PF,DEN,Short-Term IR: Ankle: 11/1/24-11/14/24 | Short-Term IR: Knee: 11/22/24-3/2/25,54,115,1602985
155,Terry Rozier,PG,MIA,"Short-Term IR: Foot: 11/18/24-11/24/24 | Short-Term IR: Knee: 12/23/24-12/23/24 | Short-Term IR: Illness: 2/12-2/13/25, 4/3-4/3/25",6,11,1575662
156,Precious Achiuwa,PF,NYK,"Short-Term IR: Hamstring: 10/22/24-12/4/24, 3/6-3/6/25",22,45,1551735
157,Alex Sarr,PF,WAS,"Short-Term IR: Back: 12/7/24-12/11/24, 12/23/24-12/23/24 | Short-Term IR: Illness: 1/8-1/8/25 | Short-Term IR: Ankle: 1/29-2/10/25, 2/23-2/26/25",15,24,1551120
158,Deni Avdija,SF,POR,"Short-Term IR: Ankle: 1/14-1/18/25 | Short-Term IR: Quad: 2/28-2/28/25, 3/7-3/9/25 | Short-Term IR: Finger: 4/6-4/13/25",10,17,1526583
159,Jalen Hood-Schifino,PG,LAL,"Short-Term IR: Illness: 10/24/24-10/25/24, 3/26-3/26/25 | Short-Term IR: Groin: 11/13/24-11/21/24, 12/2/24-12/6/24 | Short-Term IR: Hamstring: 11/23/24-11/23/24, 12/13/24-2/1/25",36,69,1516264
160,Trey Murphy III,SF,NOP,Short-Term IR: Hamstring: 10/22/24-11/9/24 | Short-Term IR: Knee: 11/27/24-11/27/24 | Short-Term IR: Ankle: 1/7-1/8/25 | IR: Shoulder: 3/17-4/13/25,27,50,1482700
161,Michael Porter Jr.,SF,DEN,Short-Term IR: Hamstring: 2/8-2/12/25 | Short-Term IR: Personal: 4/1-4/2/25,5,7,1442644
162,Gradey Dick,SG,TOR,Short-Term IR: Calf: 11/25/24-12/4/24 | Short-Term IR: Hamstring: 12/31/24-12/31/24 | Short-Term IR: Illness: 1/29-1/29/25 | Short-Term IR: Pelvis: 3/4-4/13/25,28,52,1423656
163,Day'Ron Sharpe,C,BKN,Short-Term IR: Hamstring: 10/23/24-12/1/24 | Short-Term IR: Illness: 1/8-1/8/25 | Short-Term IR: Knee: 3/26-4/13/25,32,60,1375560
164,Ziaire Williams,SF,BKN,"Short-Term IR: Knee: 12/2/24-1/1/25, 4/11-4/13/25 | Short-Term IR: Ankle: 1/21-1/22/25 | Short-Term IR: Achilles: 3/16-3/16/25 | Short-Term IR: Hamstring: 3/22-3/22/25 | Short-Term IR: Rest: 4/3-4/3/25",19,39,1374633
165,Eric Gordon,SG,PHI,Short-Term IR: Mouth: 12/23/24-12/30/24 | Short-Term IR: Knee: 2/2-2/4/25 | Short-Term IR: Wrist: 2/11-4/13/25,36,72,1367064
166,DeMar DeRozan,SF,SAC,"Short-Term IR: Back: 11/15/24-11/20/24, 11/27/24-11/30/24",5,10,1344830
167,Duncan Robinson,SF,MIA,Short-Term IR: Personal: 11/2/24-11/2/24 | Short-Term IR: Foot: 12/29/24-12/29/24 | Short-Term IR: Illness: 2/12-2/12/25 | Short-Term IR: Back: 3/25-4/2/25,8,12,1338348
168,James Wiseman,C,IND,IR: Achilles: 10/24/24-2/4/25,48,104,1337440
169,Vincent Williams Jr.,SF,MEM,"Short-Term IR: Leg: 10/23/24-11/14/24 | Short-Term IR: Ankle: 11/20/24-2/3/25, 3/15-3/15/25 | Short-Term IR: Knee: 2/12-2/12/25, 2/21-2/21/25, 3/1-3/1/25 | Short-Term IR: Foot: 3/10-3/10/25 | Short-Term IR: Illness: 4/1-4/4/25",55,108,1316304
170,Corey Kispert,SF,WAS,Short-Term IR: Ankle: 12/5/24-12/15/24 | IR: Thumb: 3/17-4/13/25,21,39,1278888
171,Klay Thompson,SG,DAL,"Short-Term IR: Foot: 11/25/24-12/2/24, 2/13-2/13/25, 4/13-4/13/25 | Short-Term IR: Illness: 12/30/24-12/30/24, 3/19-3/19/25 | Short-Term IR: Ankle: 1/22-1/23/25",10,14,1277136
172,Mark Williams,C,CHA,"Short-Term IR: Foot: 10/23/24-12/2/24, 1/25-1/25/25, 3/8-3/8/25, 3/21-3/21/25, 3/30-3/30/25, 4/9-4/9/25, 4/13-4/13/25 | Short-Term IR: Injury Management: 12/20/24-12/20/24, 1/29-1/31/25, 2/24-2/24/25, 3/7-3/7/25 | Short-Term IR: Back: 4/4-4/4/25",32,54,1270620
173,Austin Reaves,SG,LAL,"Short-Term IR: Back: 12/1/24-12/12/24 | Short-Term IR: Calf: 3/2-3/4/25 | Short-Term IR: Ankle: 3/20-3/20/25, 4/13-4/13/25",8,17,1267809
174,Cole Anthony,PG,ORL,"Short-Term IR: Illness: 1/21-1/23/25 | Short-Term IR: Toe: 3/4-3/4/25, 3/13-3/14/25, 3/19-3/21/25, 3/24-3/31/25",13,17,1260346
175,Myles Turner,C,IND,"Short-Term IR: Ankle: 10/30/24-10/30/24, 2/3-2/3/25 | Short-Term IR: Calf: 11/18/24-11/18/24 | Short-Term IR: Illness: 1/8-1/8/25 | Short-Term IR: Concussion: 2/8-2/12/25 | Short-Term IR: Hip: 3/17-3/17/25 | Short-Term IR: Injury Management: 4/11-4/11/25",9,11,1259852
176,Luguentz Dort,SG,OKC,"Short-Term IR: Ankle: 12/28/24-12/28/24 | Short-Term IR: Knee: 1/26-1/26/25, 3/7-3/7/25, 4/9-4/13/25 | Short-Term IR: Back: 2/7-2/8/25 | Short-Term IR: Hip: 3/16-3/16/25, 3/19-3/19/25, 3/21-3/21/25",11,13,1232764
177,Jordan Hawkins,SG,NOP,"Short-Term IR: Back: 11/4/24-11/5/24, 11/8/24-11/21/24, 11/29/24-12/15/24, 3/30-3/30/25, 4/2-4/13/25 | Short-Term IR: Illness: 1/31-1/31/25",23,47,1222470
178,Kevin Love,C,MIA,"Short-Term IR: Personal: 10/23/24-11/9/24, 12/21/24-12/21/24, 1/9-1/9/25, 2/12-2/24/25, 3/27-4/13/25 | Short-Term IR: Back: 11/28/24-11/27/24, 12/2/24-12/2/24",27,54,1194804
179,Josh Green,SG,CHA,"Short-Term IR: Foot: 1/29-1/29/25 | Short-Term IR: Calf: 2/7-2/9/25 | Short-Term IR: Illness: 3/5-3/5/25 | Short-Term IR: Shoulder: 3/23-3/23/25, 4/4-4/13/25",11,16,1163616
180,Kevin Huerter,SG,SAC,Short-Term IR: Illness: 11/2/24-11/5/24 | Short-Term IR: Ankle: 12/1/24-12/2/24 | Short-Term IR: Shoulder: 12/16/24-12/16/24 | Short-Term IR: Knee: 3/2-3/4/25 | Short-Term IR: Injury Management: 3/31-3/31/25 | Short-Term IR: Neck: 4/8-4/8/25,8,12,1160712
181,Pat Connaughton,SG,MIL,"Short-Term IR: Calf: 2/7-2/9/25, 2/23-3/9/25 | Short-Term IR: Ankle: 4/6-4/8/25",12,21,1137360
182,Kris Murray,PF,POR,Short-Term IR: Sternum: 11/25/24-1/27/25 | Short-Term IR: Chest: 1/21-1/21/25 | Short-Term IR: Quad: 2/10-2/10/25,4,66,1134144
183,Nick Richards,C,CHA,"Short-Term IR: Shoulder: 11/2/24-11/29/24 | Short-Term IR: Ankle: 12/6/24-12/7/24, 3/12-3/14/25 | Short-Term IR: Calf: 3/21-3/21/25 | Short-Term IR: Elbow: 4/9-4/13/25",22,39,1120704
184,Isaiah Stewart,C,DET,"Short-Term IR: Knee: 12/19/24-12/27/24, 4/11-4/13/25 | Short-Term IR: Back: 3/3-3/3/25",7,13,1120691
185,Luke Kennard,SG,MEM,Short-Term IR: Foot: 10/23/24-11/5/24 | Short-Term IR: Illness: 12/5/24-12/8/24 | Short-Term IR: Hamstring: 1/4-1/4/25 | Short-Term IR: Back: 3/9-3/10/25 | Short-Term IR: Knee: 4/13-4/13/25,15,21,1116381
186,Trey Lyles,PF,SAC,Short-Term IR: Calf: 11/27/24-12/19/24 | Short-Term IR: Back: 3/14-3/14/25,11,24,1103448
187,Reed Sheppard,SG,HOU,Short-Term IR: Thumb: 3/8-3/27/25,11,19,1102760
188,Donovan Clingan,C,POR,Short-Term IR: Knee: 11/25/24-12/12/24 | Short-Term IR: Rest: 1/8-1/8/25 | Short-Term IR: Ankle: 1/16-1/23/25 | Short-Term IR: Illness: 3/21-3/21/25,13,28,1100120
189,Al Horford,C,BOS,"Short-Term IR: Rest: 11/1/24-11/1/24, 12/15/24-12/15/24, 1/3-1/3/25 | Short-Term IR: Toe: 11/13/24-11/13/24, 12/2/24-12/2/24, 1/18-1/18/25, 1/22-1/22/25, 1/29-1/29/25, 2/25-2/25/25, 3/6-3/6/25, 3/10-3/10/25, 3/15-3/15/25, 3/24-3/24/25, 3/29-3/29/25, 4/2-4/2/25 | Short-Term IR: Illness: 11/22/24-11/22/24, 11/25/24-11/25/24 | Short-Term IR: Knee: 4/8-4/9/25, 4/13-4/13/25",20,20,1091960
190,Trendon Watford,PF,BKN,"Short-Term IR: Hamstring: 10/23/24-11/15/24, 12/19/24-1/27/25, 3/15-3/15/25 | Short-Term IR: Injury Management: 2/5-2/5/25, 3/1-3/1/25, 3/10-3/10/25",38,68,1065560
191,Onyeka Okongwu,C,ATL,"Short-Term IR: Injury Management: 10/28/24-10/28/24, 11/3/24-11/3/24 | Short-Term IR: Knee: 12/19/24-12/28/24, 4/13-4/13/25",8,13,1045980
192,Evan Mobley,PF,CLE,"Short-Term IR: Illness: 11/15/24-11/15/24 | Short-Term IR: Ankle: 12/13/24-12/15/24 | Short-Term IR: Calf: 1/18-1/24/25 | Short-Term IR: Rest: 3/4-3/4/25, 3/27-3/27/25, 4/10-4/10/25 | Short-Term IR: Foot: 3/16-3/16/25 | Short-Term IR: Back: 4/13-4/13/25",11,16,1032432
193,Zach Edey,C,MEM,"Short-Term IR: Ankle: 11/19/24-12/14/24, 3/10-3/10/25, 4/13-4/13/25 | Short-Term IR: Concussion: 12/29/24-12/31/24",16,31,1025666
194,Dillon Brooks,SF,HOU,"Short-Term IR: Ankle: 12/23/24-12/27/24 | Short-Term IR: Knee: 3/3-3/3/25 | Short-Term IR: Rest: 4/9-4/9/25, 4/11-4/11/25",6,8,1023240
195,Bobby Portis,PF,MIL,Short-Term IR: Elbow: 11/13/24-11/15/24 | Short-Term IR: Personal: 1/25-2/3/25 | Short-Term IR: Rest: 4/13-4/13/25,8,14,1012046
196,Goga Bitadze,C,ORL,Short-Term IR: Foot: 10/28/24-11/3/24 | Short-Term IR: Ankle: 12/3/24-12/3/24 | Short-Term IR: Back: 1/15-1/25/25,11,19,989083
197,Keldon Johnson,SG,SAS,Short-Term IR: Hamstring: 11/23/24-11/26/24 | Short-Term IR: Calf: 12/13/24-12/15/24 | Short-Term IR: Back: 4/2-4/2/25 | Short-Term IR: Ankle: 4/11-4/11/25,5,9,982755
198,Josh Richardson,SG,MIA,"Short-Term IR: Shoulder: 10/23/24-10/29/24 | Short-Term IR: Calf: 10/30/24-10/30/24 | Short-Term IR: Illness: 12/1/24-12/2/24 | Short-Term IR: Heel: 12/12/24-1/2/25, 1/13-2/5/25",28,56,981960
199,Cody Williams,SG,UTA,Short-Term IR: Ankle: 1/22-2/7/25 | Short-Term IR: Illness: 3/31-4/13/25,16,31,974392
200,Rob Dillingham,PG,MIN,"Short-Term IR: Ankle: 12/2/24-12/11/24, 12/29/24-1/11/25, 12/29/24-12/31/24",13,27,971838
201,Pascal Siakam,PF,IND,"Short-Term IR: Personal: 3/17-3/17/25 | Short-Term IR: Elbow: 4/6-4/6/25, 4/13-4/13/25 | Short-Term IR: Injury Management: 4/11-4/11/25",4,4,969572
202,Josh Giddey,SG,CHI,"Short-Term IR: Ankle: 12/19/24-12/27/24, 3/13-3/17/25, 3/20-3/20/25 | Short-Term IR: Quad: 3/4-3/4/25 | Short-Term IR: Forearm: 4/8-4/8/25, 4/11-4/13/25",12,20,960040
203,G.G. Jackson,PF,MEM,Short-Term IR: Foot: 10/23/24-1/15/25 | Short-Term IR: Eye: 2/28-2/28/25,42,86,935078
204,Mike Conley,PG,MIN,"Short-Term IR: Rest: 11/13/24-11/13/24, 3/5-3/5/25, 3/16-3/16/25 | Short-Term IR: Toe: 11/21/24-11/26/24 | Short-Term IR: Thumb: 1/30-1/30/25 | Short-Term IR: Finger: 2/8-2/13/25",11,16,917328
